"GeolCode";"GeolCodeInt";"DE";"FR"
"Aarc203004";10203004;"Eisenzeit";"âge du fer"
"Aarc203005";10203005;"Bronzezeit";"âge du bronze"
"Aarc203006";10203006;"Steinzeit";"âge de la pierre"
"Aarc204001";10204001;"Latènezeit";"La Tène"
"Aarc204002";10204002;"Hallstattzeit";"Hallstatt"
"Aarc204003";10204003;"Jungbronzezeit";"bronze tardif"
"Aarc204004";10204004;"Mittelbronzezeit";"bronze moyen"
"Aarc204005";10204005;"Altbronzezeit";"bronze précoce"
"Aarc204006";10204006;"Neolithikum";"néolithique"
"Aarc204007";10204007;"Mesolithikum";"mésolithique"
"Aarc204008";10204008;"Paläolithikum";"paléolithique"
"Aarc301001";10301001;"Castrum";"castrum"
"Aarc301002";10301002;"Refugium, Höhensiedlung, Erdwerk";"refugium, oppidum, fortification"
"Aarc302001";10302001;"historisch";"historique"
"Aarc302002";10302002;"prähistorisch";"préhistorique"
"Aarc303001";10303001;"Neuzeit";"époque moderne"
"Aarc303002";10303002;"Mittelalter";"Moyen Âge"
"Aarc303003";10303003;"Römerzeit";"époque romaine"
"Aarc303004";10303004;"Eisenzeit";"âge du fer"
"Aarc304001";10304001;"Latènezeit";"La Tène"
"Aarc304002";10304002;"Hallstattzeit";"Hallstatt"
"Aart301001";10401001;"künstlich verändertes Gelände";"terrain modelé artificiellement"
"Aart301002";10401002;"künstliche Ablagerung, undifferenziert";"dépôts artificiels, indifférenciés"
"Aart301003";10401003;"Aufschüttung, Damm";"remblai, digue"
"Aart301004";10401004;"Auffüllung";"remplissage"
"Aart301005";10401005;"Deponie";"décharge"
"Aart301006";10401006;"Halde";"terril"
"Abor101001";10501001;"Bohrung";"forage"
"Abor101002";10501002;"Sondierschlitz";"fouille ou tranchée de reconnaissance"
"Abor101003";10501003;"Handsondierung";"sondage à la tarière"
"Abor101004";10501004;"Rammsondierung";"sondage au pénétromètre"
"Abor101005";10501005;"Rammkernsondierung";"sondage par carottier battu"
"Abor102001";10502001;"gekernt";"carotté"
"Abor102002";10502002;"nicht gekernt";"destructif"
"Abor105001";10505001;"Geotechnik";"géotechnique"
"Abor105002";10505002;"Hydrogeologie";"hydrogéologique"
"Abor105003";10505003;"Mineralwasser";"eaux minérales"
"Abor105004";10505004;"mineralische Rohstoffe";"matières premières minérales"
"Abor105005";10505005;"Kohlenwasserstoffe";"hydrocarbures"
"Abor105006";10505006;"belasteter Standort";"site pollué"
"Abor105007";10505007;"Seismik";"sismique"
"Abor105008";10505008;"Geothermie";"géothermique"
"Abor105009";10505009;"Thermalwasser";"eaux thermales"
"Abor105010";10505010;"Grundwasser";"eaux souterraines"
"Abor105012";10505012;"Forschung";"recherche"
"Abor105013";10505013;"Naturgefahren";"dangers naturels"
"Abor106001";10506001;"Salz / Steinsalz";"sel / halite"
"Abor106002";10506002;"Erdöl";"pétrole"
"Abor106003";10506003;"Erdgas";"gaz naturel"
"Abor106004";10506004;"Erdwärme";"energie géothermique"
"Abor106005";10506005;"Thermalwasser";"eau thermale"
"Abor106006";10506006;"Grundwasser";"eau souterraine"
"Abor106007";10506007;"Mineralwasser";"eau minérale"
"Aexp101001";10601001;"Bergwerk, Untertageabbau";"mine, exploitation souterraine"
"Aexp101002";10601002;"Stolleneingang";"entrée de galerie"
"Aexp101003";10601003;"Schacht";"puits de mine"
"Aexp101004";10601004;"Pinge (dolinenartiger Stolleneinbruch)";"fontis (effondrement de surface lié à des travaux souterrains)"
"Aexp101005";10601005;"Schürfloch";"trace d´exploitation en surface"
"Aexp101006";10601006;"ausgeräumte Bohnerztasche";"poche sidérolithique vidée"
"Aexp103001";10603001;"in Betrieb";"en exploitation"
"Aexp103002";10603002;"stillgelegt";"abandonné"
"Aexp103003";10603003;"aufgefüllt";"comblé"
"Aexp103004";10603004;"verfallen";"effondré"
"Aexp105001";10605001;"Erze allgemein";"minerais en général"
"Aexp105002";10605002;"Gold";"or"
"Aexp105003";10605003;"Silber";"argent"
"Aexp105004";10605004;"Kupfer, z.T. mit Silber, Wismut und Arsen";"cuivre, partiellement avec argent, bismuth et arsenic"
"Aexp105005";10605005;"Eisen / Eisenoolithe";"fer / oolite ferrugineuse"
"Aexp105006";10605006;"Blei-Zink";"plomb-zinc"
"Aexp105007";10605007;"Chrom-Nickel, z.T. mit Kobalt";"chrome-nickel, partiellement avec cobalt"
"Aexp105008";10605008;"Mangan";"manganèse"
"Aexp105009";10605009;"Molybdän und Wolfram";"molybdène et tungstène"
"Aexp105010";10605010;"Antimon";"antimoine"
"Aexp105011";10605011;"Baryt";"barytine"
"Aexp105012";10605012;"Kalzit";"calcite"
"Aexp105013";10605013;"Fluorit";"fluorite"
"Aexp105014";10605014;"Quarz";"quartz"
"Aexp105015";10605015;"Kaolin";"kaolin"
"Aexp105016";10605016;"Magnesit";"magnésite"
"Aexp105017";10605017;"Magnesium";"magnésium"
"Aexp105018";10605018;"Phosphorit, Apatit";"phosphorite, apatite"
"Aexp105019";10605019;"Talk";"talc"
"Aexp105020";10605020;"Schwefel";"soufre"
"Aexp105021";10605021;"Uran";"uranium"
"Aexp105022";10605022;"Bohnerz";"pisolites ferrugineuses"
"Aexp105023";10605023;"Asbest";"asbeste / amiante"
"Aexp105024";10605024;"Kohle allgemein";"charbon en général"
"Aexp105025";10605025;"Steinkohle / Anthrazit";"houille / anthracite"
"Aexp105026";10605026;"Lignit";"lignite"
"Aexp105027";10605027;"Graphit";"graphite"
"Aexp105028";10605028;"Ölschiefer";"schiste bitumineux"
"Aexp105029";10605029;"Asphalt / Bitumen";"asphalte / bitume"
"Aexp105030";10605030;"Hartgestein";"roche dure"
"Aexp105031";10605031;"Dachschiefer / Tafelschiefer";"ardoise, schiste ardoisier"
"Aexp105032";10605032;"Serpentin";"serpentine"
"Aexp105033";10605033;"Speckstein";"stéatite"
"Aexp105034";10605034;"Gips";"gypse"
"Aexp105035";10605035;"Salz / Steinsalz";"sel / halite"
"Aexp105036";10605036;"Ton / Ton und Silt (Lehm)";"argile / argile et silt (limon)"
"Aexp105037";10605037;"Sand";"sable"
"Aexp105038";10605038;"Sand und Kies";"sable et gravier"
"Aexp105039";10605039;"Pyrit";"pyrite"
"Aexp105040";10605040;"Kies";"gravier"
"Aexp201001";10701001;"Abbaufront";"front d'exploitation"
"Aexp201002";10701002;"Bergwerksstollen";"galerie de mine"
"Aexp202001";10702001;"in Betrieb";"en exploitation"
"Aexp202002";10702002;"stillgelegt";"abandonné"
"Aexp202003";10702003;"aufgefüllt";"comblé"
"Aexp202004";10702004;"verfallen";"effondré"
"Aexp301001";10801001;"Steinbruch";"carrière"
"Aexp301002";10801002;"Grube (Lockergesteinsabbau)";"exploitation de matériaux meubles"
"Aexp302001";10802001;"in Betrieb";"en exploitation"
"Aexp302002";10802002;"stillgelegt";"abandonné"
"Aexp302003";10802003;"aufgefüllt";"comblé"
"Aexp302004";10802004;"verfallen";"effondré"
"Aexp304001";10804001;"Ton / Ton und Silt (Lehm)";"argile / argile et silt (limon)"
"Aexp304002";10804002;"Sand";"sable"
"Aexp304003";10804003;"Sand und Kies";"sable et gravier"
"Aexp304004";10804004;"Hartgestein";"roche dure"
"Aexp304005";10804005;"Dachschiefer / Tafelschiefer";"ardoise, schiste ardoisier"
"Aexp304006";10804006;"Gips";"gypse"
"Aexp304007";10804007;"Serpentin";"serpentine"
"Aexp304008";10804008;"Speckstein";"stéatite"
"Aexp304009";10804009;"Talk";"talc"
"Aexp304010";10804010;"Baryt";"barite"
"Aexp304011";10804011;"Kalzit / Kalk";"calcite / calcaire"
"Aexp304012";10804012;"Eisen / Eisenoolithe";"fer / oolite ferrugineuse"
"Aexp304013";10804013;"Kaolin";"kaolin"
"Aexp304014";10804014;"Quarz / Quarzit";"quartz / quartzite"
"Aexp304015";10804015;"Asbest";"asbeste / amiante"
"Aexp304016";10804016;"Bohnerz";"pisolites ferrugineuses"
"Aexp304017";10804017;"Torf";"tourbe"
"Aexp304018";10804018;"Mergel";"marne"
"Aexp304019";10804019;"Kohle";"charbon"
"Aexp304020";10804020;"Salz / Steinsalz";"sel"
"Aexp304021";10804021;"Kies";"gravier"
"Gall201001";10901001;"Strandwall";"cordon littoral"
"Gall201002";10901002;"Achse einer Murgangrinne";"axe d'un chenal de lave torrentielle"
"Gall202001";10902001;"fossil";"fossile"
"Gall202002";10902002;"rezent";"récent"
"Gero101001";11001001;"Erdpyramide";"demoiselle coiffée"
"Gero201001";11101001;"Erosionsrand";"bord d´érosion"
"Gero201002";11101002;"Terrassenkante";"bord de terrasse"
"Gero201003";11101003;"Schichtstufenkante";"escarpement en tête de banc"
"Ggla101001";11201001;"glazitektonische Deformation";"déformation glaciotectonique"
"Ggla101002";11201002;"Gletschermühle, Strudelloch";"marmite glaciaire, cavité d´érosion"
"Ggla201001";11301001;"Moränenwall";"vallum morainique"
"Ggla201002";11301002;"Moränenwall auf Gletscher oder auf Toteis";"cordon morainique sur glacier ou sur glace morte"
"Ggla201003";11301003;"Kameterrassenkante";"bord de terrasse de kame"
"Ggla201004";11301004;"älterer Gletscherstand, basierend auf historischen Daten";"ancien stade glaciaire, déduit de données historiques"
"Ggla201005";11301005;"Schliffgrenze";"limite supérieure de l'érosion glaciaire (trimline)"
"Ggla201006";11301006;"Protalus Rampart Wulst";"bourrelet de protalus rampart"
"Ggla201007";11301007;"Blockwulst im Blockgletscher";"bourrelet de glacier rocheux"
"Ggla201008";11301008;"Schneehaldenmoränenwall";"vallum de moraine de névé"
"Ggla201009";11301009;"Verbreitungsgrenze von Geschiebe";"limite de l'étendue des blocs"
"Ggla202001";11302001;"symmetrisch";"symétrique"
"Ggla202002";11302002;"einseitig abfallend";"unilatéral"
"Ggla203001";11303001;"Lokalgletscher";"glacier local"
"Ggla203002";11303002;"grosse Tal- und Vorlandgletscher";"grands glaciers de vallées et de piedmont"
"Ggla204001";11304001;"Maximalstand, undifferenziert";"stade maximal, indifférencié"
"Ggla204002";11304002;"Bern";"Berne"
"Ggla204003";11304003;"Bremgarten, undifferenziert";"Bremgarten, indifferencié"
"Ggla204004";11304004;"Konstanz";"Constance"
"Ggla204005";11304005;"Feuerthalen, undifferenziert";"Feuerthalen, indifferencié"
"Ggla204006";11304006;"Gurten";"Gurten"
"Ggla204007";11304007;"Hurden";"Hurden"
"Ggla204008";11304008;"Killwangen";"Killwangen"
"Ggla204009";11304009;"Mellingen";"Mellingen"
"Ggla204010";11304010;"Muri";"Muri"
"Ggla204011";11304011;"Rotkreuz";"Rotkreuz"
"Ggla204012";11304012;"Schaffhausen, undifferenziert";"Schaffhouse, indifferencié"
"Ggla204013";11304013;"Schlieren, undifferenziert";"Schlieren, indifferencié"
"Ggla204014";11304014;"Schosshalde";"Schosshalde"
"Ggla204015";11304015;"Seftigschwand";"Seftigschwand"
"Ggla204016";11304016;"Solothurn";"Soleure"
"Ggla204017";11304017;"Spreitenbach";"Spreitenbach"
"Ggla204018";11304018;"Spreitenbach-Killwangen";"Spreitenbach-Killwangen"
"Ggla204019";11304019;"Stein am Rhein, undifferenziert";"Stein am Rhein, indifferencié"
"Ggla204020";11304020;"Stetten, undifferenziert";"Stetten"
"Ggla204021";11304021;"Wangen I";"Wangen I"
"Ggla204022";11304022;"Wangen II";"Wangen II"
"Ggla204023";11304023;"Wittigkofen";"Wittigkofen"
"Ggla204024";11304024;"Zürich, undifferenziert";"Zurich, indifferencié"
"Ggla204025";11304025;"Stein-am-Rhein I";"Stein am Rhein I"
"Ggla204026";11304026;"Stein-am-Rhein II";"Stein am Rhein II"
"Ggla204027";11304027;"Stein-am-Rhein III";"Stein am Rhein III"
"Ggla204028";11304028;"Feuerthalen I";"Feuerthalen I"
"Ggla204029";11304029;"Feuerthalen II";"Feuerthalen II"
"Ggla204030";11304030;"Schaffausen I";"Schaffhouse I"
"Ggla204031";11304031;"Schaffausen II";"Schaffhouse II"
"Ggla204035";11304035;"Küblis";"Küblis"
"Ggla204036";11304036;"Lunden";"Lunden"
"Ggla204037";11304037;"Chur";"Coire"
"Ggla204038";11304038;"Sargans";"Sargans"
"Ggla204039";11304039;"Koblach";"Koblach"
"Ggla204040";11304040;"Fideris";"Fideris"
"Ggla204041";11304041;"Serneus";"Serneus"
"Ggla204042";11304042;"Wangen, undifferenziert";"Wangen, indifferencié"
;11304043;"Sursee";"Sursee"
;11304044;"Triengen";"Triengen"
;11304050;"Bremgarten I";"Bremgarten I"
;11304051;"Bremgarten II";"Bremgarten II"
;11304052;"Bülach I";"Bülach I"
;11304053;"Bülach II";"Bülach II"
;11304054;"Bülach, undifferenziert";"Bülach, indifferencié"
;11304055;"Dättikon";"Dättikon"
;11304056;"Regensdorf";"Regensdorf"
;11304057;"Seeb";"Seeb"
;11304058;"Stetten I";"Stetten I"
;11304059;"Stetten II";"Stetten II"
;11304060;"Würenlos I";"Würenlos I"
;11304061;"Würenlos II";"Würenlos II"
;11304062;"Würenlos, undifferenziert";"Würenlos, indifferencié"
;11305001;"1. Vergletscherung der letzten Eiszeit (MIS 5d)";"1ère glaciation de la Dernière Période glaciaire (MIS 5d)"
;11305002;"2. Vergletscherung der letzten Eiszeit (MIS 4)";"2ème glaciation de la Dernière Période glaciaire (MIS 4)"
;11305003;"3. Vergletscherung der letzten Eiszeit (LGM, MIS 2)";"3ème glaciation de la Dernière Période glaciaire (LGM, MIS 2)"
;11305004;"Gschnitz";"Gschnitz"
;11305005;"Clavadel";"Clavadel"
;11305006;"Daun";"Daun"
;11305007;"Egesen";"Egesen"
;11305008;"Mitlleres Pleistozän";"Pléistocène moyen"
"Ggla301001";11401001;"Drumlin, drumlinartige Kieskuppe";"drumlin, croupe graveleuse en forme de drumlin"
"Ggla301003";11401003;"Rundhöcker";"roches moutonnées"
"Ggla301004";11401004;"Toteisloch, Soll";"doline glaciaire, soll"
"Ginb302001";11502001;"Hauptbewegungsphase vor dem letzteiszeitlichen Maximum";"phase principale du mouvement avant le Dernier Maximum Glaciaire"
"Ginb302002";11502002;"Hauptbewegungsphase nach dem letzteiszeitlichen Maximum";"phase principale du mouvement après le Dernier Maximum Glaciaire"
"Gins101001";11601001;"Hinweis auf Hanginstabilität";"indice d'instabilité"
"Gins201001";11701001;"Stauchwulst";"bourrelet de glissement"
"Gins201002";11701002;"Nackentälchen, Zerrstruktur";"limite de contrepente"
"Gins201003";11701003;"Abrissrand";"niche d´arrachement"
"Gins201004";11701004;"offene Spalte";"fissure ouverte"
"Gkar101001";11901001;"Ponor";"ponor"
"Gkar101002";11901002;"Höhle, Balme";"grotte, baume"
"Gkar301001";12001001;"Senke ohne oberirdischen Abfluss";"dépression sans exutoire superficiel"
"Gkar301002";12001002;"Doline";"doline"
"Gkar301003";12001003;"Karrenfeld";"lapiez"
"Gkar301004";12001004;"Polje";"poljé"
"Hcon101001";12101001;"Grundwasserfassung";"captage dans la nappe phréatique"
"Hcon101002";12101002;"Zisterne";"citerne"
"Hcon101003";12101003;"laufender Brunnen (in wasserarmem Gebiet)";"fontaine (en région sèche)"
"Hcon101004";12101004;"Sodbrunnen";"puits"
"Hcon101005";12101005;"Versickerungsschacht";"puits d´infiltration"
"Hcon101006";12101006;"Limnigraph";"limnigraphe"
"Hcon101007";12101007;"Piezometer";"piézomètre"
"Hcon101008";12101008;"Pumpwerk mit See- bzw. Flusswasserfassung";"station de pompage avec captage en lac ou rivière"
"Hcon101009";12101009;"Pumpwerk ohne Wasserfassung";"station de pompage sans captage d'eau"
"Hcon102001";12102001;"in Betrieb";"en activité"
"Hcon102002";12102002;"stillgelegt";"abandonné"
"Hcon103001";12103001;"Mittelalter";"Moyen Âge"
"Hcon103002";12103002;"Römerzeit";"époque romaine"
"Hcon103003";12103003;"prähistorisch";"préhistorique"
"Hcon201001";12201001;"Wasserfassungsstollen";"galerie de captage d´eau"
;12201002;"Künstlicher Gewässerlauf";"écoulement artificiel"
"Hcon202001";12202001;"mit Quellfassung (orientiert) in Stollen";"avec captage (orienté) en galerie"
"Hcon202002";12202002;"mit gefasster Mineralquelle (orientiert) in Stollen";"avec source minérale (orientée) captée en galerie"
"Hcon202003";12202003;"mit gefasster Thermalquelle (orientiert)  in Stollen";"avec source thermale (orientée) captée en galerie"
"Hpal201001";12301001;"Paläotal";"axe de paléovallée"
"Hpal201002";12301002;"ehemalige Entwässerungsrinne";"ancien chenal"
"Hpal201003";12301003;"glaziale Abflussrinne";"axe d'un ancien effluent glaciaire"
"Hpal201004";12301004;"Trockental";"vallée sèche"
"Hpal201005";12301005;"ehemaliges Bachbett";"ancien lit de cours d'eau (ruisseau)"
"Hpal201006";12301006;"Ufer eines ehemaligen Flussbetts";"rive d'un ancien lit de cours d'eau"
"Hpal201007";12301007;"ehemalige Uferlinie";"ancienne ligne de rivage"
"Hpal202001";12302001;"die Jüngste oder Einzige";"la plus récente ou la seule"
"Hpal202002";12302002;"älter als die Jüngste";"plus ancienne que la plus récente"
"Hpal202003";12302003;"älter als die Zweitjüngste";"plus ancienne que la deuxième plus récente"
"Hsub201001";12401001;"unterirdischer Gewässerlauf";"écoulement souterrain"
"Hsub202001";12402001;"mit Versickerungsstelle eines Baches";"avec perte d'un cours d'eau"
"Hsub202002";12402002;"mit Wiederaustritt eines unterirdischen Bachlaufes";"avec résurgence d'une rivière souterraine"
"Hsur101001";12501001;"Quelle";"source"
"Hsur101002";12501002;"diffuse Quelle";"source diffuse"
"Hsur101003";12501003;"Wiederaustritt eines unterirdischen Bachlaufes";"résurgence d'une rivière souterraine"
"Hsur101004";12501004;"Versickerungsstelle eines Baches";"perte d´un cours d´eau"
"Hsur101005";12501005;"Steilstufe in Bachrinne, Wasserfall";"rapide d'un cours d'eau, cascade"
;12501006;"Grundwasseraufstoss";"résurgence des eaux souterraines"
"Hsur102001";12502001;"gefasst";"captée"
"Hsur102002";12502002;"nicht gefasst";"non captée"
"Hsur103001";12503001;"perennierend";"pérenne"
"Hsur103002";12503002;"temporär";"temporaire"
"Hsur103003";12503003;"versiegt";"tarie"
"Hsur104001";12504001;"Karstquelle";"karstique"
"Hsur104002";12504002;"Mineralquelle";"minérale"
"Hsur104003";12504003;"Thermalquelle";"thermale"
"Hsur105002";12505002;"in Stollen";"en galerie"
"Hsur106001";12506001;"mit Wasserfassungsstollen";"avec galerie de captage d'eau"
"Hsur106002";12506002;"mit unterirdischem Gewässerlauf";"avec écoulement souterrain"
"Hsur201001";12601001;"Quellhorizont";"niveau de sources, déversement de la nappe phréatique"
"Hsur201002";12601002;"Bachlauf";"ruisseau"
"Hsur301001";12701001;"Gletscher";"glacier"
"Hsur301002";12701002;"See";"lac"
"Hsur301003";12701003;"Fluss";"rivière"
"Lano101001";12801001;"gemessene Anomalie";"anomalie mesurée"
"Lano101002";12801002;"Fulgurit";"fulgurite"
"Lano102001";12802001;"gravimetrisch";"gravimétrique"
"Lano102002";12802002;"radiometrisch";"radiométrique"
"Lfos101001";12901001;"Fossilfundstelle";"gisement fossilifère"
"Lfos102001";12902001;"Tierreste";"faune"
"Lfos102002";12902002;"Pflanzen- und Tierreste";"faune et flore"
"Lfos102003";12902003;"Pflanzenreste";"flore"
"Lfos102004";12902004;"Spuren";"traces"
;12902006;"Einzeller";"unicellulaires"
"Lfos103001";12903001;"Vertebraten";"vertébrés"
"Lfos103002";12903002;"Ostrakoden";"ostracodes"
"Lfos103003";12903003;"Gastropoden";"gastéropodes"
"Lfos103004";12903004;"Foraminiferen";"foraminifères"
"Lfos103005";12903005;"Algen";"algues"
"Lfos103006";12903006;"Blätter";"feuilles"
"Lfos103007";12903007;"Gräser";"graminées"
"Lfos103008";12903008;"Holz";"bois"
"Lfos103009";12903009;"Ammoniten";"ammonites"
"Lfos103010";12903010;"Schwämme";"éponges"
"Lfos103011";12903011;"Korallen";"coraux"
"Lfos103012";12903012;"Brachiopoden";"brachiopodes"
"Lfos103013";12903013;"Mollusken";"mollusques"
"Lfos103014";12903014;"Cephalopoden";"céphalopodes"
"Lfos103015";12903015;"Bivalven";"bivalves"
"Lfos103016";12903016;"Echinodermen";"échinodermes"
"Lfos103017";12903017;"Fische";"poissons"
"Lfos103018";12903018;"Reptilien";"reptiles"
"Lfos103019";12903019;"Säugetiere";"mammifères"
"Lfos103020";12903020;"Mikrofossilien";"microfossiles"
"Lfos103021";12903021;"Palynomorphe";"palynomorphes"
"Lfos104001";12904001;"radiometrisch datiert";"daté radiométriquement"
"Lfos105001";12905001;"aufgeschlossen";"affleurant"
"Lfos105002";12905002;"wieder verdeckt";"recouvert"
"Lgeo201001";13001001;"geologische Kontur";"contour géologique"
"Lgeo202001";13002001;"im Allgemeinen";"en général"
"Lgeo202002";13002002;"vermutet";"probable"
"Lgeo202003";13002003;"künstlich";"artificiel"
;13002004;"gesichert, tektonisch überprägt";"certain, tectonisé"
;13002005;"vermutet, tektonisch überprägt";"probable, tectonisé"
"Lpro201001";20501002;"gebändert";"rubané"
"Lgeo202001";13002006;"Gewässerlinie";"ligne d'un cours d'eau"
"Lpro202002";13101001;"Gesteinshorizont";"horizon de roche"
"Lpro202003";13102001;"kristallinfreie bis -arme (Kalk-)Nagelfluh";"poudingue (calcaire) dépourvu ou pauvre en éléments cristallins"
"Lpro202004";13102002;"kristallinführende (Kalk-)Nagelfluh";"poudingue (calcaire) à éléments cristallins"
"Lres101001";13102003;"bunte bis polygene Nagelfluh";"poudingue polygénique"
"Lres101002";13102004;"Flyschsandstein-Nagelfluh, Riesenkonglomerat";"poudingue à éléments de grès de flysch, Riesenkonglomerat"
"Lres101003";13201001;"Mineralfundstelle";"gisement de minéraux"
"Lres101004";13201002;"Gasquelle";"source de gaz naturel"
"Lres101005";13201003;"Anzeichen auf Öl";"indices de pétrole"
"Lres101006";13201004;"Tasche, Karsttasche, Kluft, mit Füllung von Siderolithikum";"poche, poche karstique, fissure, remplie de matériel sidérolithique"
"Lres101007";13201005;"Fundstelle von vulkanischem Tuffit";"gisement de tuffite volcanique"
"Lres101008";13201006;"Fundstelle vulkanischer Auswürflinge (Tephra)";"gisement de projections volcaniques (tephra)"
;13201007;"Fundstelle von Ries-Auswürflingen";"gisement de projections du Ries"
"Lres102001";13201008;"Asphalt, vereinzeltes Vorkommen";"asphalte, gisement isolé"
"Lres102002";13201009;"Meteoritfundstelle";"gisement de météorite"
"Lres103001";13202001;"aufgeschlossen";"affleurant"
"Lres103002";13202002;"wieder verdeckt";"recouvert"
"Lres103003";13203001;"Boluston";"argile à bolus"
"Lres103004";13203002;"Huppererde";"hupper"
"Lres103005";13203003;"Bohnerz";"pisolites ferrugineuses"
"Lmin201001";13203004;"Glas- / Quarzsand";"sable vitrifiable"
"Lsed101001";13203005;"Walkerde";"terre à foulon"
"Lsed101002";13301001;"Vererzungszone";"zone minéralisée"
"Lsed101003";13401001;"Sedimentstrukturen";"structures sédimentaires"
"Lsed101004";13401002;"Riffstrukturen";"structures récifales"
"Lsed101005";13401003;"Erosions- oder Omissionsfläche, Hartgrund, Kondensationshorizont";"surface d´érosion ou lacune stratigraphique, surface durcie, niveau de condensation"
"Ltyp101001";13401004;"stratigraphische Lage (Polarität) einer Schichtserie";"position stratigraphique (polarité) d´une couche sédimentaire"
"Ltyp101003";13401005;"Winkeldiskordanz";"discordance angulaire"
"Ltyp102001";13401006;"Entwässerungstrichter (blow-out structure) ";"cratère d'échappement d'eau"
"Ltyp102002";13501001;"geologisch relevanter Aufschluss";"affleurement géologique important"
"Ltyp102003";13501003;"Typusprofil";"coupe-type"
"Ltyp102004";13502001;"Gruppe";"groupe"
"Ltyp102005";13502002;"Subgruppe";"sous-groupe"
"Ltyp102006";13502003;"Formation";"formation"
"Mfol101001";13502004;"Member";"membre"
"Mfol101002";13502005;"Bank";"banc"
"Mfol101003";13502006;"Stufe";"étage"
"Mfol102001";13601001;"Orientierung der Faltenachse";"orientation d'un axe de pli"
"Mfol102002";13601002;"Orientierung der Scheitellinie";"orientation d'une ligne de crête"
"Mfol103001";13601003;"Orientierung der Muldenlinie";"orientation d'une ligne de creux"
"Mfol103002";13602001;"Antiklinale";"anticlinal"
"Mfol104001";13602002;"Synklinale";"synclinal"
"Mfol104002";13603001;"Antiform";"antiforme"
"Mfol104003";13603002;"Synform";"synforme"
